benchmark ID,longest time,final program,intended?,INPLDI?
W148T1,53,"ForEach v0 in Descendants(//div[@class='innertube'][2], a) do {
  Click <v0>
  ScrapeText //div[@class='innertube'][2]/p[1]
  ScrapeText //div[@class='innertube'][2]/p[3]
  GoBack
 }",TRUE,Y
W149T1,18,"ForEach v0 in Descendants(//table[@class='basic link-rows'], tr[@class='link-row']) do {
  ScrapeText <v0>
 }",TRUE,Y
W14T1,8,"ForEach v0 in Descendants(, div[@class='VideoSearchCard__videoImageWrapper___zPMT9']) do {
  ScrapeLink <v0>/a
 }",TRUE,Y
W157T1,77,"ForEach v0 in GetArray(.inputs) do {
  SendData //div[@class='search-form__input-wrapper'][2]/input[@name='query'] <v0>
  Click //div[@class='search-form__container'][2]/button[@class='js_search-form__button search-form__button btn btn--large btn--red']
  ScrapeText //table[@class='instrument-table js_tab-menu__tab-target js_instrument-table']//td[6]
  ScrapeText //table[@class='instrument-table js_tab-menu__tab-target js_instrument-table']//td[8]
  GoBack
 }",TRUE,Y
W162T1,306,"ForEach v0 in Descendants(//ul[@class='tabs'], a) do {
  Click <v0>
  ForEach v0 in Descendants(, tr[@class='top3']) do {
  ScrapeText <v0>/td[@class='verstrekker']
  ScrapeText <v0>/td[@class='rente']
  }
 }",TRUE,Y
W164T1,179,"ForEach v0 in Descendants(//div[@id='productTabData'], div[@class='dropdown-item']) do {
  Click //div[@class='main-content-section parsys']//button[@aria-haspopup='true'][3]
  Click <v0>
  ForEach v0 in Children(//body/main/div/div[3]/div[2]/div/div/div/div/div/div/div[7]/div/div/div/div/table/tbody, tr) do {
  ScrapeText <v0>/td[1]
  ScrapeText <v0>/td[9]
  }
 }",TRUE,Y
W176T1,89,"ForEach v0 in Children(//body/div[4]/div/div[2]/div[1]/div/div/div/table/tbody, tr) do {
  ScrapeText <v0>/td[1]/a
  ScrapeText <v0>/td[2]
  Click <v0>/td[1]/a
  ScrapeText //tr[@class='occlss-table__row'][3]/td[@class='occlss-table__cell']
  ScrapeText //td[@class='occlss-table__cell'][4]/a
  GoBack
 }",TRUE,Y
W177T1,84,"SendKeys //body/div[1]/section/div/section/center/section/div/div[3]/input 5316 53rd AVE E
 Click //body/div[1]/section/div/section/center/section/div/div[4]/ul/li/input
 ForEach v0 in GetArray(.addresses) do {
  SendData //div[@class='4u 12u$(small)']/input[@id='locationSearchTextBox'] <v0>
  Click //ul[@class='actions'][1]//input[@id='locationSearchButton']
  ScrapeText //div[@class='3u 5u(small)']/input[@id='distance']
  Click //div[@class='2u 4u(small)'][3]/input[@value='Clear Last Point']
 }",TRUE,Y
W178T1,561,"While true do {
  ForEach v0 in Descendants(, div[@class='col-xs-12']) do {
  ScrapeText <v0>/p[2]
  }
  if valid(//div[@class='entry-content']//a[@class='next page-numbers pull-right']) {
  Click //div[@class='entry-content']//a[@class='next page-numbers pull-right']
  }
 }",TRUE,Y
W188T1,31,"ForEach v0 in GetArray(.nums) do {
  SendData //div[@id='searchBox']//input[@name='keywords'] <v0>
  Click //div[@id='searchBox']//input[@class='inpB']
  ExtractURL
 }",TRUE,Y
W189T1,55,"While true do {
  ForEach v0 in Children(//body/div[1]/div/div[1]/div[1]/table/tbody, tr) do {
  ScrapeText <v0>/td[1]/a/div[1]
  ScrapeText <v0>/td[2]
  ScrapeText <v0>/td[3]
  }
  if valid(//nav[@aria-label='Pagination Navigation']//a[@aria-label='Next &raquo;']) {
  Click //nav[@aria-label='Pagination Navigation']//a[@aria-label='Next &raquo;']
  }
 }",TRUE,Y
W18T1,105,"ForEach v0 in GetArray(.names) do {
  SendData //td[@class='border-none'][2]/input[@id='FreeText'] <v0>
  Click //td[@class='border-none'][3]/button[@id='btn_quicksearch']
  ScrapeText //tr[@class='rowASRLodd odd']//a
  Click //tr[@class='rowASRLodd odd']//a
  ScrapeText //div[@id='moduleMemberDetail']//p[@class='nostyle'][3]
  GoBack
  GoBack
 }",TRUE,Y
W190T1,82,"ForEach v0 in GetArray(.ann) do {
  SendData //div[@class='input-group'][2]/input[@name='basicsearchterm'] <v0>
  Click //span[@class='input-group-btn'][2]/button[@title='Search']
  ScrapeText //dl[@class='dl-xs-horizontal']/dd[@class='ng-binding'][1]
  ScrapeText //div[@class='col-sm-4'][1]/address[@class='ng-binding']
  GoBack
 }",TRUE,Y
W1T1,231,"Click //body/div[2]/div/div/div[2]/div
 SendKeys //body/div[1]/div/div[2]/div[1]/div[2]/div/div[1]/div[1]/div/form/input iphone 12
 Click //body/div[1]/div/div[2]/div[1]/div[2]/div/div[1]/div[1]/button
 While true do {
  ForEach v0 in Descendants(, div[@class='_1N6I4W']) do {
  Click <v0>/div[@class='_10Wbs- _5SSWfi UjjMrh']
  ScrapeText //div[@class='attM6y']/span
  ScrapeText //div[@class='flex items-center'][2]/div[@class='Ybrg9j']
  ExtractURL
  GoBack
  }
  if valid(//div[@class='shopee-page-controller']/button[@class='shopee-icon-button shopee-icon-button--right ']) {
  Click //div[@class='shopee-page-controller']/button[@class='shopee-icon-button shopee-icon-button--right ']
  }
 }",TRUE,Y
W204T1,487,"While true do {
  ForEach v0 in Descendants(, div[@class='ColThree']) do {
  ForEach v0 in Descendants(<v0>, img) do {
  Download <v0>
  }
  }
  if valid(//body/form/div[2]/div[4]/div/div[2]/div/div/div/div/div[3]/ul/li[3]/a) {
  Click //body/form/div[2]/div[4]/div/div[2]/div/div/div/div/div[3]/ul/li[3]/a
  }
 }",TRUE,Y
W213T1,672,"ForEach v0 in GetArray(.inputs) do {
  SendData //div[@class='medium-5 columns end form-block'][2]/input[@name='p$lt$ctl01$pageplaceholder$p$lt$ctl02$CPSO_AllDoctorsSearch$txtCPSONumber'] <v0>
  Click //div[@class='search-panel--actions'][1]/input[@name='p$lt$ctl01$pageplaceholder$p$lt$ctl02$CPSO_AllDoctorsSearch$btnSubmit']
  ScrapeText //div[@class='name_cpso_num']/h1[@id='docTitle']
  ScrapeText //div[@class='practice-location']/div[@class='location_details']
  ForEach v1 in Descendants(//section[@id='specialties'], td) do {
  ScrapeText <v1>
  }
  GoBack
 }",TRUE,Y
W218T1,336,"While true do {
  ForEach v0 in Descendants(, div[@class='mobile-content-container']) do {
  ForEach v0 in Descendants(<v0>, a) do {
  ScrapeText <v0>
  }
  }
  if valid(//li[@class='pagination-list-item next-results']/a[@class='next']) {
  Click //li[@class='pagination-list-item next-results']/a[@class='next']
  }
 }",TRUE,Y
W223T1,403,"While true do {
  ForEach v0 in Descendants(, div[@class='jsx-4015109390 card-box type-srp-result']) do {
  ScrapeText <v0>//span[@class='rui__sc-62xokl-0 bowEcH']
  ScrapeText <v0>//a[@class='jsx-1534613990 card-anchor']
  }
  if valid(//div[@data-testid='srp-body']//a[@aria-label='Go to next page']) {
  Click //div[@data-testid='srp-body']//a[@aria-label='Go to next page']
  }
 }",TRUE,Y
W226T1,461,"ForEach v0 in Children(//select[@class='dropdown module_options-select'], option) do {
  Click <v0>
  ForEach v0 in Descendants(, div[@class='module_item']) do {
  ScrapeLink <v0>//a[@class='module_headline-link']
  ScrapeText <v0>/div[@class='module_date-time']
  }
 }",TRUE,Y
W228T1,404,"ForEach v0 in Descendants(, div[@class='ups-table fuel-surcharge']) do {
  ScrapeText <v0>//th[1]
  ForEach v0 in Descendants(<v0>, td) do {
  ScrapeText <v0>
  }
 }",TRUE,Y
W232T1,640,"While true do {
  ForEach v0 in Descendants(, div[@class='thumbnail-item thumbnail-sm thumbnail-logo ripple']) do {
  ScrapeText <v0>//span[@class='ad__price']
  }
  if valid(//section[@class='search-result']//a[@class='btn btn-primary'][1]) {
  Click //section[@class='search-result']//a[@class='btn btn-primary'][1]
  }
 }",TRUE,Y
W233T1,79,"ForEach v0 in GetArray(.ppins) do {
  SendData //form[@name='form1']//input[@name='ppin'] <v0>
  Click //form[@name='form1']//input[@name='Submit']
  Click //span[@class='text']//a[1]
  ScrapeText //div[@id='content']//td[6]
  GoBack
  GoBack
 }",TRUE,Y
W237T1,381,"ForEach v0 in GetArray(.keywords) do {
  SendData //div[@class='textboxfocus']/input[@name='ctl00$ctl00$MainContent$Content$SearchControls$CardSearchBoxParent$CardSearchBox'] <v0>
  Click //div[@class='searchsubmit']/input[@name='ctl00$ctl00$MainContent$Content$SearchControls$searchSubmitButton']
  ForEach v1 in Descendants(, td[@class='leftCol']) do {
  Download <v1>//img
  }
  GoBack
 }",TRUE,Y
W238T1,17,"ForEach v0 in Descendants(, div[@class='itemlist2']) do {
  ScrapeText <v0>//strong[1]
  Click <v0>/div[@class='itemlist2_description']
  ExtractURL
  GoBack
 }",TRUE,Y
W239T1,683,"ForEach v0 in GetArray(.inputs) do {
  SendData //div[@class='searchBoxWrapper']/input[@class='searchLocationInput pac-target-input'] <v0>
  Click //div[@class='searchButton']/button[@class='squareButton buttonLarge btnDoSearch']
  While true do {
  ForEach v1 in Descendants(, div[@class='locatorMainInfo']) do {
  ScrapeText <v1>//div[@class='storeMainAddress']
  ScrapeText <v1>//div[@class='locatorAddressCityState']
  ScrapeText <v1>//div[@class='locatorPhone']
  }
  if valid(//div[@class='pagingHolder']/button[@class='sprite-next-page-arrow ']) {
  Click //div[@class='pagingHolder']/button[@class='sprite-next-page-arrow ']
  }
  }
 
 }",TRUE,Y
W240T1,163,"ForEach v0 in Descendants(, div[@class='anunt']) do {
  ScrapeText <v0>//strong
  ScrapeText <v0>//div[@class='detaliu'][1]
  ScrapeText <v0>//div[@class='suna_tel']
 }
 Click //body/section/div/div[1]/div[4]/table/tbody/tr/td[2]/ul/li[5]/span
 ForEach v0 in Descendants(, div[@class='anunt']) do {
  ScrapeText <v0>//strong
  ScrapeText <v0>//div[@class='detaliu'][1]
  ScrapeText <v0>//div[@class='suna_tel']
 }
 Click //body/section/div/div[1]/div[4]/table/tbody/tr/td[2]/ul/li[7]/span
 ForEach v0 in Descendants(, div[@class='anunt']) do {
  ScrapeText <v0>//strong
  ScrapeText <v0>//div[@class='detaliu'][1]
  ScrapeText <v0>//div[@class='suna_tel']
 }
 Click //body/section/div/div[1]/div[4]/table/tbody/tr/td[2]/ul/li[8]/span
 While true do {
  ForEach v0 in Descendants(, div[@class='anunt']) do {
  ScrapeText <v0>//strong
  ScrapeText <v0>//div[@class='detaliu'][1]
  ScrapeText <v0>//div[@class='suna_tel']
  }
  if valid(//ul[@class='pagination'][2]//span[9]) {
  Click //ul[@class='pagination'][2]//span[9]
  }
 }",TRUE,Y
W252T1,429,"While true do {
  ForEach v0 in Descendants(, h3[@class='result-heading']) do {
  ScrapeText <v0>/a[@class='result-title hdrlnk']
  ScrapeLink <v0>/a[@class='result-title hdrlnk']
  }
  if valid(//span[@class='buttons'][2]/a[@class='button next']) {
  Click //span[@class='buttons'][2]/a[@class='button next']
  }
 }",TRUE,Y
W253T1,498,"ForEach v1 in GetArray(.search_item) do {
  SendData //div[@class='input-group'][1]/input[@name='ctl00$ContentPlaceHolder1$txtDateN'] <v1>.from_date
  SendData //div[@class='input-group'][2]/input[@name='ctl00$ContentPlaceHolder1$txtDateTo'] <v1>.to_date
  SendData //div[@class='input-group input-group-md']/input[@name='ctl00$ContentPlaceHolder1$txtNameOR'] <v1>.grantor
  Click //div[@class='col-xs-12 col-sm-4 col-md-3']/input[@name='ctl00$ContentPlaceHolder1$btnSearch']
  While true do {
  ForEach v0 in Descendants(, tr[@class='odd']) do {
  ScrapeText <v0>/td[2]
  ScrapeText <v0>/td[3]
  }
  if valid(//div[@id='ctl00_ContentPlaceHolder1_DivPagerBtns']/input[@name='ctl00$ContentPlaceHolder1$BtnNext']) {
  Click //div[@id='ctl00_ContentPlaceHolder1_DivPagerBtns']/input[@name='ctl00$ContentPlaceHolder1$BtnNext']
  }
  }
 
 }",TRUE,Y
W254T1,130,"ForEach v0 in GetArray(.addresses) do {
  SendData //div[@class='adress-field']/input[@id='address-input-2'] <v0>
  Click //div[@class='get-home-estimate']/button[@id='home-val-page-submit-2']
  ScrapeText //div[@class='col-xs-6 col-sm-6 media-left']/span[@id='zestimate']
 }",TRUE,Y
W25T1,211,"While true do {
  ForEach v0 in Descendants(, div[@class='title']) do {
  ScrapeText <v0>//a
  ScrapeLink <v0>//a
  }
  if valid(//div[@class='alignleft']/a) {
  Click //div[@class='alignleft']/a
  }
 }",TRUE,Y
W262T1,24,"ForEach v0 in Descendants(, div[@class='flex flex-col w-full md:w-1/2 pl-8 text-gray-800']) do {
  ScrapeText <v0>/div[@class='flex flex-row items-start mt-1 md:mt-3']
  ScrapeText <v0>/div[@class='hidden md:flex flex-row items-start mt-2']
 }",TRUE,Y
W265T1,765,"While true do {
  ForEach v0 in Descendants(, figure[@class='MosaicAsset-module__figure____SWrB']) do {
  Download <v0>/img[@class='MosaicAsset-module__thumb___YJI_C']
  }
  if valid(//section[@class='PaginationRow-module__container___XBmU4']/a[@class='PaginationRow-module__button___pgPXn PaginationRow-module__nextButton___3LGik']) {
  Click //section[@class='PaginationRow-module__container___XBmU4']/a[@class='PaginationRow-module__button___pgPXn PaginationRow-module__nextButton___3LGik']
  }
 }",TRUE,Y
W268T1,594,"While true do {
  ForEach v0 in Descendants(, div[@class='result']) do {
  ScrapeText <v0>//span[1]
  ScrapeText <v0>//span[@class='call-number']
  }
  if valid(//div[@class='srp list-view generic has-helpful-reviews ']//a[@class='next ajax-page']) {
  Click //div[@class='srp list-view generic has-helpful-reviews ']//a[@class='next ajax-page']
  }
 }",TRUE,Y
W274T1,355,"Click //body/div[2]/table/tbody/tr/td[1]/a
 ForEach v0 in Descendants(//table[@class='schoolDataset'], a) do {
  Click <v0>
  ForEach v0 in Children(//div[@class='subCats'][2], a[@class='sideMenuCat']) do {
  Click <v0>
  ForEach v0 in Descendants(//table[@class='schoolDataset'], a) do {
  Click <v0>
  ForEach v0 in Descendants(//table[@class='schoolDataset'], a) do {
  Click <v0>
  ScrapeText //div[@class='breadcrumb']/h3
  ScrapeText //div[@class='breadcrumb']//strong[1]
  GoBack
  }
  GoBack
  }
  GoBack
  }
  GoBack
 }",TRUE,Y
W276T1,92,"ForEach v0 in GetArray(.folio_numbers) do {
  SendData //div[@id='basic']//input[@class='ui-autocomplete-input'][1] <v0>
  Click //div[@id='basic']/button[@class='btn btn-primary']
  Click //table[@id='table-basic-results']//td[@class='link force-one-line']
  Download //div[@class='wrap'][4]//img
  GoBack
  GoBack
 }",TRUE,Y
W284T1,401,"While true do {
  ForEach v0 in Descendants(, div[@class='info']) do {
  ScrapeText <v0>//a[@class='business-name']
  ScrapeText <v0>//div[@class='phones phone primary']
  }
  if valid(//div[@class='pagination']//a[@class='next ajax-page']) {
  Click //div[@class='pagination']//a[@class='next ajax-page']
  }
 }",TRUE,Y
W285T1,101,"ForEach v0 in GetArray(.search_words) do {
  SendData //div[@class='header__form']/input[@name='text'] <v0>
  Click //div[@class='header__form']/button[@name='Search']
  ScrapeText //div[@class='item-box__description'][1]//p[1]
 }",TRUE,Y
W287T1,116,"ForEach v0 in GetArray(.search_words) do {
  SendData //div[@class='a4bIc']/input[@class='gLFyf gsfi'] <v0>
  Click //div[@class='RNNXgb']/button[@class='Tg7LZd']
  ScrapeLink //div[@class='yuRUbf'][1]/a
 }",TRUE,Y
W295T1,401,"While true do {
  ForEach v0 in Children(//body/div[5]/div/div, article) do {
  ScrapeText <v0>/div[2]/div[2]/header/h2/a
  ScrapeText <v0>/div[2]/div[1]/span[1]/a
  ScrapeLink <v0>/div[2]/div[2]/header/h2/a
  }
  if valid(//a[@class='next page-numbers']/span[@aria-hidden='true']) {
  Click //a[@class='next page-numbers']/span[@aria-hidden='true']
  }
 }",TRUE,Y
W296T1,405,"ForEach v0 in Descendants(//aside[@id='archives-2'], a) do {
  Click <v0>
  While true do {
  ForEach v0 in Descendants(, h2[@class='entry-title']) do {
  ScrapeText <v0>/a
  }
  if valid(//li[@class='previous']/a) {
  Click //li[@class='previous']/a
  }
  }
 
 }",TRUE,Y
W33T1,103,"While true do {
  ForEach v0 in Children(//body/div[1]/div[2]/div[9]/div[10]/div/div/div[1]/div[2]/div/div/div[2]/div/ol, li) do {
  ScrapeText <v0>/div/a/div
  ScrapeText <v0>/div/div[4]/a[1]/span
  ScrapeText <v0>/div/a
  }
  if valid(//body/div[1]/div[2]/div[9]/div[11]/div/div/div[1]/div[2]/div/div/div[3]/a) {
  Click //body/div[1]/div[2]/div[9]/div[11]/div/div/div[1]/div[2]/div/div/div[3]/a
  }
 }",TRUE,Y
W34T1,423,"SendKeys //body/header/table/tbody/tr/td[5]/form/table/tbody/tr/td[1]/div/div/input[1] toner
 Click //body/header/table/tbody/tr/td[5]/form/table/tbody/tr/td[3]/input
 While true do {
  ForEach v0 in Descendants(//div[@id='mainContent'], h3[@class='s-item__title']) do {
  ScrapeText <v0>
  ScrapeLink <v0>
  }
  if valid(//div[@id='mainContent']//a[@class='pagination__next icon-link']) {
  Click //div[@id='mainContent']//a[@class='pagination__next icon-link']
  }
 }",TRUE,Y
W38T1,19,"ForEach v0 in Descendants(//div[@id='mainContent'], span[@class='s-item__price']) do {
  ScrapeText <v0>
 }",TRUE,Y
W3T1,118,"Click //body/div[4]/nav/a[3]
 ForEach v0 in Descendants(, div[@class='lrgr']) do {
  Click <v0>/h2[@itemprop='name']
  ExtractURL
  ScrapeText //div[@class='col']/h1[@itemprop='name']
  ScrapeText //p[@class='lead']//span[@itemprop='price']
  GoBack
 }",TRUE,Y
W40T1,410,"ForEach v0 in Descendants(//div[@id='main'], img[@class='thumb_img']) do {
  Download <v0>
 }
 Click //body/div[3]/div/div[2]/div/div/div[1]/section/div[3]/div[1]/div[4]/a[2]
 ForEach v0 in Descendants(//section[@class='grid-block'], img[@class='thumb_img']) do {
  Download <v0>
 }
 Click //body/div[3]/div/div[2]/div/div/div[1]/section/div[3]/div[4]/a[5]
 While true do {
  ForEach v0 in Children(//body/div[3]/div/div[2]/div/div/div[1]/section/div[3]/ul, li) do {
  Download <v0>/div/a/img
  }
  if valid(//div[@id='block-main']//a[41]) {
  Click //div[@id='block-main']//a[41]
  }
 }",TRUE,Y
W46T1,153,"ForEach v0 in GetArray(.ids) do {
  SendData //div[@id='searchControl']/input[@id='map_query'] <v0>
  Click //div[@id='searchControl']/input[@id='search_submit']
  ScrapeText //tr[@class='odd']/td[@class=' '][2]
  ScrapeText //tr[@class='odd']/td[@class=' '][3]
  ScrapeText //tr[@class='odd']/td[@class=' '][4]
  ScrapeText //tr[@class='odd']/td[@class=' '][5]
  ScrapeText //tr[@class='odd']/td[@class=' '][6]
 }",TRUE,Y
W49T1,508,"SendKeys //body/div[1]/div/div[1]/div/div/div[2]/div[2]/form/div/div/div/input coffee maker
 Click //body/div[1]/div/div[1]/div/div/div[2]/div[2]/form/div/div/div/button
 While true do {
  ForEach v0 in Descendants(, div[@class='css-y5gcsw']) do {
  ScrapeText <v0>//div[@class='css-1f4mp12']
  ScrapeText <v0>//div[@class='css-rhd610']
  }
  if valid(//div[@id='zeus-root']//button[@aria-label='Halaman berikutnya']) {
  Click //div[@id='zeus-root']//button[@aria-label='Halaman berikutnya']
  }
 }",TRUE,Y
W50T1,400,"ForEach v0 in GetArray(.nums) do {
  SendData //div[@class='col-lg-10 d-flex align-items-center form-group']/input[@id='search-param'] <v0>
  Click //div[@class='col-lg-2 form-group mb-0']/button[@id='search-bar']
  ScrapeText //div[@class='row mb-1'][1]/div[@class='col-12 col-md-9 td-body']
  ScrapeText //div[@class='row mb-1'][2]/div[@class='col-12 col-md-9 td-body']
  ScrapeText //div[@class='row mb-1'][4]/div[@class='col-12 col-md-9 td-body']
  GoBack
 }",TRUE,Y
W52T1,152,"ForEach v0 in GetArray(.parcelID) do {
  Click //table[@id='radio1']//input[@id='radio1_1']
  SendData //table[@id='Table5']//input[@name='txtParcelIDFull'] <v0>
  Click //div[@id='data-container']//input[@name='btnSearch']
  ScrapeText //table[@id='Table1']//span[@id='BasicInfo1_lblAddress']
  ScrapeText //table[@id='Table1']//span[@id='BasicInfo1_lblOwner']
  Click //div[@id='Header1_pnlTabs']/input[@name='Header1$lnkImage']
  Download //p[@class='center']/img[@id='imgPicture']
  GoBack
  GoBack
  GoBack
 }",TRUE,Y
W53T1,201,"ForEach v0 in Children(//body/div[1]/div/div/div[1]/div/div[2]/div/div/div[5]/div/div/section/div[2]/div/div[1]/table/tbody, tr) do {
  ScrapeText <v0>/td[1]
  ScrapeText <v0>/td[3]
  ScrapeText <v0>/td[5]
 }",TRUE,Y
W58T1,12,"ForEach v0 in Descendants(, div[@class='mediaSquare x-large']) do {
  ScrapeLink <v0>//img
 }",TRUE,Y
W6T1,405,"While true do {
  ForEach v0 in Descendants(, div[@class='a-row a-spacing-none']) do {
  ScrapeText <v0>//span[1]
  ScrapeText <v0>//a[@class='a-size-base a-link-normal review-title a-color-base review-title-content a-text-bold']
  ScrapeText <v0>//span[@class='a-size-base review-text review-text-content']
  }
  if valid(//ul[@class='a-pagination']/li[@class='a-last']) {
  Click //ul[@class='a-pagination']/li[@class='a-last']
  }
 }",TRUE,Y
W77T1,199,"ForEach v0 in Children(//body/div[1]/div[3]/table/tbody, tr) do {
  ScrapeText <v0>/td[3]/div/span/a
 }
 ForEach v0 in Children(//div[@class='pagelinks floatleft'], a[@class='navPages']) do {
  Click <v0>
  ForEach v0 in Children(//body/div[1]/div[3]/table/tbody, tr) do {
  ScrapeText <v0>/td[3]/div/span/a
  }
 }",TRUE,Y
W81T1,401,"ForEach v0 in GetArray(.ids) do {
  SendData //div[@id='wrap_content']//input[@id='search'] <v0>
  Click //div[@id='wrap_content']//a[@class='search_submit header__search-button form-submitter']
  ForEach v1 in Descendants(//div[@id='wrap_content'], div[@class='price']) do {
  ScrapeText <v1>
  }
 }",TRUE,Y
W87T1,401,"While true do {
  ForEach v0 in Descendants(, article[@class='productListItem clearfix']) do {
  ScrapeLink <v0>/a[@class='productListItem__link ga-item']
  ScrapeText <v0>//h1
  ScrapeText <v0>//span[@class='addToBasket__unitPriceText'][2]
  }
  if valid(//li[@class='pagination__item pagination__item--next']/a[@title='Next']) {
  Click //li[@class='pagination__item pagination__item--next']/a[@title='Next']
  }
 }",TRUE,Y
W88T1,50,"ForEach v0 in Descendants(, h3[@class='style-scope ytd-grid-video-renderer']) do {
  ScrapeText <v0>/a[@id='video-title']
 }",TRUE,Y
W8T1,498,"SendKeys //body/div[1]/div[1]/header/div[1]/div[3]/div/form/div[1]/div/div/input iphone 4
 Click //body/div[1]/div[1]/header/div[1]/div[3]/div/form/button
 While true do {
  ForEach v0 in Descendants(, div[@class='mp-Listing-group']) do {
  ScrapeText <v0>//h3[@class='mp-Listing-title']
  ScrapeText <v0>//span[@class='mp-Listing-price mp-text-price-label']
  }
  if valid(//nav[@class='mp-PaginationControls-pagination']//span[@aria-hidden='true'][2]) {
  Click //nav[@class='mp-PaginationControls-pagination']//span[@aria-hidden='true'][2]
  }
 }",TRUE,Y
W99T1,304,"ForEach v0 in Descendants(//table[@class='notelinkstable'], a[@class='notelinks']) do {
  Click <v0>
  ForEach v0 in Children(//body/form/table[4]/tbody/tr/td/table/tbody/tr[2]/td[2]/table[3]/tbody, tr) do {
  ScrapeText <v0>/td[2]
  ScrapeText <v0>/td[4]
  }
 }",TRUE,Y
W9T1,94,"ForEach v0 in GetArray(.licenseIDs) do {
  Click //form[@name='menu_line'][2]/a
  SendData //form[@name='form1']//input[@title='Enter Licence Number'] <v0>
  Click //form[@name='form1']//input[@name='Submit']
  ScrapeText //div[@class='result']/div[@class='result-title']
  ScrapeText //div[@class='result-details'][1]/p
 }",TRUE,Y
W111T2,125,"ForEach v0 in GetArray(.names) do {
  SendData //div[@class='solo pa-3 d-flex'][1]/input[@id='search-name'] <v0>
  Click //div[@class='col-2']/button[@aria-label='button to search']
  ScrapeLink //div[@class='results-container']/a[@class='serp-card hide-scrollbar amp-event'][1]
  GoBack
 }",TRUE,N
